Index,Census Tract,County,State,Name,Total,Total Percent,Hispanic or Latino,Hispanic or Latino Percent,Not Hispanic or Latino,Not Hispanic or Latino Percent,One Race Total,One Race Total Percent,White,White Percent,African American,African American Percent,American Indian and Alaska Native,American Indian and Alaska Native Percent,Asian,Asian Percent,Native Hawaiian and Other Pacific Island,Native Hawaiian and Other Pacific Island Percent,Other,Other Percent
0,981300,25,25,"Census Tract 9813, Suffolk County, Massachusetts",79,100.0,9,11.39,70,88.61,62,78.48,54,68.35,4,5.06,0,0.0,4,5.06,0,0.0,0,0.0
1,981700,25,25,"Census Tract 9817, Suffolk County, Massachusetts",4,100.0,1,25.0,3,75.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,102,25,25,"Census Tract 1.02, Suffolk County, Massachusetts",3714,100.0,554,14.92,3160,85.08,2933,78.97,1565,42.14,298,8.02,8,0.22,883,23.77,2,0.05,177,4.77
3,81400,25,25,"Census Tract 814, Suffolk County, Massachusetts",3774,100.0,684,18.12,3090,81.88,2865,75.91,1172,31.05,1324,35.08,9,0.24,326,8.64,1,0.03,33,0.87
4,10103,25,25,"Census Tract 101.03, Suffolk County, Massachusetts",4697,100.0,513,10.92,4184,89.08,4027,85.74,2661,56.65,352,7.49,13,0.28,942,20.06,4,0.09,55,1.17
6,70201,25,25,"Census Tract 702.01, Suffolk County, Massachusetts",3990,100.0,261,6.54,3729,93.46,3685,92.36,2230,55.89,179,4.49,0,0.0,1264,31.68,0,0.0,12,0.3
7,170502,25,25,"Census Tract 1705.02, Suffolk County, Massachusetts",3407,100.0,673,19.75,2734,80.25,2587,75.93,2246,65.92,137,4.02,6,0.18,123,3.61,1,0.03,74,2.17
9,81700,25,25,"Census Tract 817, Suffolk County, Massachusetts",4141,100.0,1100,26.56,3041,73.44,2836,68.49,254,6.13,2337,56.44,22,0.53,158,3.82,0,0.0,65,1.57
10,70102,25,25,"Census Tract 701.02, Suffolk County, Massachusetts",3687,100.0,353,9.57,3334,90.43,3202,86.85,2194,59.51,232,6.29,7,0.19,745,20.21,4,0.11,20,0.54
11,20302,25,25,"Census Tract 203.02, Suffolk County, Massachusetts",1293,100.0,100,7.73,1193,92.27,1147,88.71,1007,77.88,42,3.25,0,0.0,90,6.96,0,0.0,8,0.62
12,30302,25,25,"Census Tract 303.02, Suffolk County, Massachusetts",1844,100.0,157,8.51,1687,91.49,1613,87.47,1300,70.5,103,5.59,2,0.11,195,10.57,0,0.0,13,0.7
17,50901,25,25,"Census Tract 509.01, Suffolk County, Massachusetts",4242,100.0,2749,64.8,1493,35.2,1352,31.87,1091,25.72,77,1.82,2,0.05,92,2.17,0,0.0,90,2.12
18,81101,25,25,"Census Tract 811.01, Suffolk County, Massachusetts",1484,100.0,158,10.65,1326,89.35,1263,85.11,806,54.31,154,10.38,0,0.0,299,20.15,0,0.0,4,0.27
21,10206,25,25,"Census Tract 102.06, Suffolk County, Massachusetts",2154,100.0,223,10.35,1931,89.65,1848,85.79,1040,48.28,50,2.32,0,0.0,749,34.77,0,0.0,9,0.42
22,10702,25,25,"Census Tract 107.02, Suffolk County, Massachusetts",2328,100.0,157,6.74,2171,93.26,2080,89.35,1856,79.73,52,2.23,4,0.17,154,6.62,0,0.0,14,0.6
23,60603,25,25,"Census Tract 606.03, Suffolk County, Massachusetts",1502,100.0,83,5.53,1419,94.47,1338,89.08,1152,76.7,44,2.93,0,0.0,134,8.92,1,0.07,7,0.47
28,10405,25,25,"Census Tract 104.05, Suffolk County, Massachusetts",6853,100.0,547,7.98,6306,92.02,5977,87.22,3793,55.35,683,9.97,5,0.07,1332,19.44,0,0.0,164,2.39
29,81001,25,25,"Census Tract 810.01, Suffolk County, Massachusetts",5695,100.0,1064,18.68,4631,81.32,4427,77.73,1955,34.33,639,11.22,7,0.12,1744,30.62,1,0.02,81,1.42
